"player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","bbref_link","bbref_id","first_season","last_season","espn_link","espn_number","espn_id","first_year_in_school","last_year_in_school","school_1_name","school_1_id","school_2_name","school_2_id","sport_ref_id","school_3_name","school_3_id"
"Shandon Anderson","Shandon","Anderson","shandon","anderson",NA,"a/andersh01","andersh01",2005,2006,"17/shandon-anderson",17,"shandon-anderson",NA,NA,NA,"georgia",NA,NA,"shandon-anderson-1",NA,NA
"Shane Battier","Shane","Battier","shane","battier",NA,"b/battish01","battish01",2005,2014,"976/shane-battier",976,"shane-battier",NA,NA,NA,"duke",NA,NA,"shane-battier-1",NA,NA
"Shaquille O'Neal","Shaquille","O'Neal","shaquille","oneal",NA,"o/onealsh01","onealsh01",2005,2011,"614/shaquille-o'neal",614,"shaquille-o'neal",NA,NA,NA,"louisiana-state",NA,NA,"shaquille-oneal-1",NA,NA
"Shareef Abdur-Rahim","Shareef","Abdur-Rahim","shareef","abdur-rahim",NA,"a/abdursh01","abdursh01",2005,2008,"3/shareef-abdur-rahim",3,"shareef-abdur-rahim",NA,NA,"University of California",NA,NA,NA,"shareef-abdur-rahim-1",NA,NA
"Shaun Livingston","Shaun","Livingston","shaun","livingston",NA,"l/livinsh01","livinsh01",2005,2019,"2393/shaun-livingston",2393,"shaun-livingston",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shawn Bradley","Shawn","Bradley","shawn","bradley",NA,"b/bradlsh01","bradlsh01",2005,2005,"88/shawn-bradley",88,"shawn-bradley",NA,NA,NA,"brigham-young",NA,NA,"shawn-bradley-1",NA,NA
"Shawn Marion","Shawn","Marion","shawn","marion",NA,"m/mariosh01","mariosh01",2005,2015,"510/shawn-marion",510,"shawn-marion",NA,NA,"Nevada","nevada-las-vegas",NA,NA,"shawn-marion-1",NA,NA
"Smush Parker","Smush","Parker","smush","parker",NA,"p/parkesm01","parkesm01",2005,2008,"1823/smush-parker",1823,"smush-parker",NA,NA,NA,"fordham",NA,NA,"smush-parker-1",NA,NA
"Speedy Claxton","Speedy","Claxton","speedy","claxton",NA,"c/claxtsp01","claxtsp01",2005,2009,"150/speedy-claxton",150,"speedy-claxton",NA,NA,NA,"hofstra",NA,NA,"speedy-claxton-1",NA,NA
"Stacey Augmon","Stacey","Augmon","stacey","augmon",NA,"a/augmost01","augmost01",2005,2006,"27/stacey-augmon",27,"stacey-augmon",NA,NA,"Nevada","nevada-las-vegas",NA,NA,"stacey-augmon-1",NA,NA
"Stephen Jackson","Stephen","Jackson","stephen","jackson",NA,"j/jacksst02","jacksst02",2005,2014,"378/stephen-jackson",378,"stephen-jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephon Marbury","Stephon","Marbury","stephon","marbury",NA,"m/marbust01","marbust01",2005,2009,"509/stephon-marbury",509,"stephon-marbury",NA,NA,"Georgia Tech","georgia-tech",NA,NA,"stephon-marbury-1",NA,NA
"Steve Blake","Steve","Blake","steve","blake",NA,"b/blakest01","blakest01",2005,2016,"1994/steve-blake",1994,"steve-blake",NA,NA,NA,"maryland",NA,NA,"steve-blake-1",NA,NA
"Steve Francis","Steve","Francis","steve","francis",NA,"f/francst01","francst01",2005,2008,"255/steve-francis",255,"steve-francis",NA,NA,NA,"maryland",NA,NA,"steve-francis-1",NA,NA
"Steve Nash","Steve","Nash","steve","nash",NA,"n/nashst01","nashst01",2005,2014,"592/steve-nash",592,"steve-nash",NA,NA,NA,"santa-clara",NA,NA,"steve-nash-1",NA,NA
"Steve Smith","Steve","Smith","steve","smith",NA,"s/smithst01","smithst01",2005,2005,"781/steve-smith",781,"steve-smith",NA,NA,NA,"michigan-state",NA,NA,"steve-smith-1",NA,NA
"Steven Hunter","Steven","Hunter","steven","hunter",NA,"h/huntest01","huntest01",2005,2010,"1002/steven-hunter",1002,"steven-hunter",NA,NA,NA,"depaul",NA,NA,"steven-hunter-1",NA,NA
"Stromile Swift","Stromile","Swift","stromile","swift",NA,"s/swiftst01","swiftst01",2005,2009,"829/stromile-swift",829,"stromile-swift",NA,NA,NA,"louisiana-state",NA,NA,"stromile-swift-1",NA,NA
"Tamar Slay","Tamar","Slay","tamar","slay",NA,"s/slayta01","slayta01",2005,2005,"1783/tamar-slay",1783,"tamar-slay",NA,NA,NA,"marshall",NA,NA,"tamar-slay-1",NA,NA
"Tayshaun Prince","Tayshaun","Prince","tayshaun","prince",NA,"p/princta01","princta01",2005,2016,"1724/tayshaun-prince",1724,"tayshaun-prince",NA,NA,NA,"kentucky",NA,NA,"tayshaun-prince-1",NA,NA
